id,question,answer,tags
78,"вот показания датчика температуры которые я передаю на контроллер - в доме пока не живу, там большие панорамные окна и солнце существенно днем нагревает помещение без включенной вентиляции (поэтому такая картина). Но для понимания видно как она меняется. для теста заданная температура всегда установлена на 23 пока","О! Так получается, что в порядке. <ADDRESS>, котёл не греет. Он бы и сам включился при остывании, что и подтверждается ручной накруткой заданной температуры. После включения ведь заданная опять вниз упала. Всё хорошо.",sensors;from_chat
79,"В доме нет интернета, сигнал GSM часто пропадает, высокий фон помех ( военный аэродром). GSM WI FI роутер от симки смартфона (не хочется переплачивать за симку для модема) не раздаёт интернет даже после ""танцев с бубнами"". Вот и хочу использовать старый простой роутер со смартфоном вместо GSM WI FI роутера. Сервер HA с контроллером чтобы не зависеть от интернета. И так как много помех использовать минимум соединений по wi fi.",«Не раздаёт» или «не ловит интернет из-за высокого уровня помех»? Что за такой Wi-Fi роутер от симки?,wifi;mqtt;from_chat
80,"Не поверишь - у меня в 2 метрах, но контроллер упорно делает вид, что за корпусом котла ничего не видит","Питание от платы котла брать страшно. Даже если там есть 5 вольт. Далеко не факт, что хватит тока. Просадить питание плате котла - так себе удовольствие. Если есть желание спрятать внутрь, имеет смысл по витой паре вместе с проводными датчиками температуры пустить 5 вольт по свободным проводкам. Или наоборот утащить от котла подальше, да запитать от обычной зарядки. По протоколу OpenTherm линия аж 50 метров допускается.",opentherm;sensors;wiring;power;from_chat
81,"Здравствуйте! Наблюдаю такую картину в OpenTherm statistics на вкладке Debug веб-интерфейса родной прошивки (большое число в первой позиции). Версия прошивки 0.8.5. Котел Ferroli Leb 18. Симптом у этого такой: котел игнорирует уставку и греет теплоноситель при 100% модуляции выше заданного значения. Подскажите, как можно диагностировать, в чем проблема?","в данном случае это статистика обмена по OpenTherm первое число - это число хороших пакетов, т.е. у вас с опентермом собственно нет проблем. Покажите закладку SmartTherm",opentherm;firmware;settings;diagnostics;from_chat
82,"Может где-то описано, но не нашёл. Можно ли установить целевую температуру PID через MQTT? Пробую через number.boiler_pid по аналогии с number.boiler_t_indoor, но не устанавливается. Цель: менять температуру с панели управления с Home Assistant интерфейсом на борту","Чз автоматизацию: alias: ""Set PID 22°С on 22 o'clock "" description: """" triggers: - trigger: time at: ""22:00:00"" conditions: [] actions: - action: climate.set_temperature metadata: {} target: entity_id: climate.mizudo_pid data: temperature: 22 mode: single",mqtt;settings;from_chat
83,"Да, электрический. При 40 то же самое: прогрел до 44 и не собирается останавливаться. Что характерно, если отключить контроллер и замкнуть провода (т.е. сделать перемычку), выставить на самом котле те же 40 градусов, то когда теплоноситель подбирается к уставке, котел начинает частично отключать ТЭНы, это слышно по щелчкам внутри котла. И таким образом поддерживает уставку с минимальными колебаниями.",возможно на котле надо какие-то настройки поменять... а датчиков температуры помещения у котла нет?,sensors;wiring;settings;from_chat
84,"Товарищи, мб кто-то сталкивался с проблемой невозможности установки температуры и модуляции (котел navien ngb210) [OT][HEATING][WARN] Failed set target temp [06:22:16][OT][WARN] Failed set max modulation: 100% (response: 100%) помогите, плз :)","А у меня вопрос, контроллер не умеет запоминать настройки? Сеголня туда сюда электричество падало. Так вот сейчас захожу в НА, и вижу что контроллер явно работает на ПИД, хотя он был выключен. И пид термостат в НА светится как выключенный Это что за баг?",opentherm;settings;from_chat
85,"Замени - если есть возможность. У меня 2 типа реле есть, все туа. У одних есть ZigBee , другие с wifi . Те что с зигби через конвертеры заведены в ХА. Т.е. туа интеграция для них не нужно. А вот вайвай - да, им интеграция, и увы, уже 2 дня Китай не на связи - т.е. этих девайсов я в ХА не вижу (wifi)","Есть одна панель, но в openHASP. Никаких проблем 🤷‍♂ Люди переводят в основном локально датчики... Там по еспхоум всё работает как надо... Соответственно, никаких ключей никаких привязок к облакам👍",wifi;sensors;from_chat
86,"Есть умный <ADDRESS> home assistant. Есть уличный датчик и комнатный, работают на ZigBee, передают температуру на сервер умного дома. Контроллер сейчас подключил, в умный <ADDRESS> через mqtt. Я правильно понимаю, что этими автоматизациями можно отдавать контроллеру котла температуры от моих датчиков? Или надо ещё прошивку контроллера менять на нестандартную?","правильно понимаете. но практическое использование показало, что лучше использовать родные датчики, подключенные к самому контроллеру.",mqtt;sensors;firmware;wiring;from_chat
87,"Кстати, вопрос. А в чем смысл подключения двух DS18B20 на разные GPIO? Ведь их же можно подключать параллельно на один и тот же вывод. Правда, не помню, какое там ограничение по количеству датчиков - не то 16, не то 32","так получилось. Ну и втыкать-вытыкать проще в разные разъемы, чем друг за другом. Кроме того, братья по разуму из Китая подлянку сделали.... DS18B20 оказывается не вполне DS18B20 и одна из подлянок заклюяается в том, что китайские клоны не умеют несколько на одной линии",sensors;wiring;from_chat
88,"Поставил НА на старый ноут, завел на него все термостаты Tuya. Удобно с одной панели видеть все показания и графики. На котле один раз настроил и все. Конечно хочется как то прикрутить еще смарттерм, но одновременно с входом термостата они не работают. Спрашивал тут, про подключение простого термостата к контроллеру на аналоговый вход, но молчат как рыба об лед","Видно, что нет датчика внешней температуры. Тогда было бы Text = ... и как этот датчик температуры в помещении увидеть....",sensors;wiring;from_chat
89,"в мозгах моего котла прописано, что когда вкл. режим отопления, тогда насос работает.","На своем Buderus я обнаружил такое: - если отключить контур отопления, то помпа включается очень редко. Иногда прокачивает систему и проверяет температуру в контуре в целях безопасности. - если оставить контур включенным, но температуру задать ниже той которую умеет готовить котел. То горелка больше включаться не будет. А вот помпа прокачивает систему гораздо чаще. Но то же не постоянно молотит.",safety;from_chat
90,"у меня пока видимо так не получится проверить. Даже если переведу контроллер в режим записи, то кроме выставления температуры теплоносителя не выйдет ничего. Пока была идея использовать контроллер как удаленный термостат, но как оказалось не так все просто.","Ранее тут обсуждался вариант повесить nc-реле на opentherm. Когда контроллер жив, он его размыкает. Когда не работает - замыкает. Ну и в контроллере не мешало бы watchdog. Сейчас по сути контроллер - ещё одна точка отказа.",opentherm;diagnostics;from_chat
91,"А мне опентерм что то не нравится, температуру он поддерживает, но сама схема поддержки не нравится, батареи горячие, тепло аж давит, а потом холодные. Хочу чтобы работало постоянно, но на минимальной температуре, чтобы в комнате было комфортно, без этих всплесков. А там нет эквитермических кривых для реализации этой схемы","Opentherm тоже не оправдал моих ожиданий, может на Baxi так неполноценно работает. Сейчас использую обычный термостат в НА, температура держится идеально.",opentherm;baxi;hot_water;from_chat
92,"Подскажите как понизить частоту процессора? В setup нет такой настройки, сейчас на 240 молотит","Хотел спросить у кого виснет. Рядом не проходит высоковольтный провод? 220 который? Просто у меня все нормально было, но в проводах был бардак. Я провода прибрал аккуратно, так что провод 220 прошел около 10 см от контроллера. И стал отваливаться вай-фай. Контроллер зависал. Я все высоковольтные провода убрал как можно дальше и уже около года не отваливается и не виснет. Проверьте.",wiring;settings;safety;diagnostics;from_chat
93,"Smaththerm32 датчик Т1 периодически показывает температуру 85%, затем возвращается на текущую температуту. Установлено, что от прошивки не зависит (пробовал родную, сейчас Live-control), от датчика тоже не зависит (пробовал разные датчики. В чем может быть проблема? датчик Т2 работает корректно","+85 и -127 - это контрольные значения при обрыве линии данных и питания соответственно. Проверяйте контакты, где-то косяк. От прошивки действительно не зависит, проблема в проводах.",sensors;firmware;wiring;power;from_chat
94,"Здравствуйте! я правильно понял, что вот это строки else { //если горелка еще выключена if(_u - BoilerT > 10.f) { _u = BoilerT + 10.f; //ограничиваем температуру теплоносителя при включении _ustart = _u; } } постоянно держат уставку на уровне Ткотла + 10?","если горелка выключена. Ибо горелку включает сам котел, и если уставка будет близка к температуре бойлера, то он быстро нагреет до уставки и отключится. 10 градусов - от балды, по идее параметр, который надо задавать.",settings;hot_water;from_chat
95,"Подскажите, как сделать так, чтобы источник температуры на улице игнорировался? У меня подключен только один комнатный датчик, и хотелось бы чтобы PID рассчитывалась по нему. Сейчас выставил желаемую температуру в 23 градуса и котел включается каждые 5-10 минут на 1 минуту.","источник немпературы на улице поставить -1, тогда базовая температура теплоносителя будет равна u0, Т.е. котел будет выставлять температуру u0 когда температура в помещении точно равна заданной",sensors;wiring;settings;from_chat
96,"Проверил: на первом скрине настроенная и работающая версия 0.8 от 23.11.24. После обновления до версии 0.8 от 05.12.24 все настройки слетают и котел перестает работать (скрин 2). Если ничего не трогая опять обновиться до версии 0.8 от 23.11.24, то все настройки возвращаются как на скрине 1 и котёл продолжает работать","ну да. Так типа и задумано. С новой версией ничего не запоминалось, поэтому конфиг остался от предыдущей версии и при загрузке предыдущей он читается",firmware;settings;from_chat
97,Ну нагревается он и что? Зачем это контролировать),"В вашей схеме есть перегрев. Котёл готовит воду 60 градусов, даже когда достаточно 40. Контроллер позволит не греть выше нужного уровня, меняя уставку котлу не 3 раза в сезон, а раз в минуту. На этом и строится вся экономия газа. Нагнать в гидрострелку 60 и отключиться или постоянно гнать какие-то 48 - вот и вся разница. Постоянное горение, вроде как экономичнее. Но это в цифрах надо смотреть, у меня их нет 🤷🏼‍♂",settings;from_chat
98,Есть ли у кого возможность замерить напряжение на клеммах OpenTherm с подключённым smarttherm и без него? На фото электрокотел zota solid.,"При чем тут обычный термостат? Сматрттерм из коробки умеет работать с роводным датчиком, не нужно BLE, если провод дотянется. Вам все равно нужен ОДИН датчик Про полезность ПИДа не скажу - вопрос о ПИД в управлении котлом вижу только теоретически, практически проверять не вижу смысла для себя - без него все идеально работает",opentherm;sensors;wiring;settings;from_chat
99,"70 не могу. 67 край. Но она так и стояла. Здесь ещё один прикол - если отключаю контроллер то выпадает ошибка е83 и я не могу управлять котлом. Ошибка не сбрасывается. Пишут что для решения этой проблемы надо предварительно отключить котел с контроллера, но я этого тоже сделать не умею","Врут. Я бы сказал: отключить котёл при подключенном контроллере. Отсоединить контроллер. Включить котёл. Котёл отключенный кнопкой на панели и обесточенный, это не одно и тоже.",wiring;diagnostics;from_chat
100,"да выше выяснили уже, что отопление не включалось, потому-что я контур не включил видимо предварительно","В большинстве котлов нет, возможно в единицах каких, я не встречал. Дело в том что ОТ становится управляющим, и он говорит когда котлу включать нагрев. А тут ещё панель рядом тоже даёт команды отключить нагрев. Кому котёл должен верить? Если в котле реализована логика приоритетности управления, то возможно и будет работать, но я повторю, таких не встречал",general;from_chat
101,"Да. Контроллер и котёл на всякий перезагрузил. Отопление отключил галкой. Снова включил. Передал PID, потому как при откл отопления он отключился. И пока без изменений. Уставка теплоносителя чуть меняется, но в пределах 2 градусов 34-36.","<USER> , т мин т макс в setup что? При какой т котел включает горелку, можно проверить в ручном постепенно поднимая уставку теплоносителя, т при которой котел кл горелку и будет эта т. Какой гист вкл горелки на вкладке ПИД?",settings;from_chat
102,"А смысл? Минимальная для погоды, минимальная для ПИД... Зачем их складывать?","затем, что PID регулятор так лучше работает. Например, у вас уставка 20 градусов в комнате, и в комнате 20, в первом случае котел выддает теплоноситель 40 градусов, во втором - 0, т.е. не работает. Если в комнате 19 градусов, котел будет выдавать 40 + 1, если Kp=1, и медленно растущий интеграл. Во втором случае выдаст 1 + медленно растущий интеграл, т.е. опять котел не работает...",settings;diagnostics;from_chat
103,Чем чревато выключение ? У меня утеплённый <ADDRESS> мощный котёл. Конечно хорош был бы конденсационный и топил бы я его на 25 градусов ТН . Но в моём случае грею теплоноситель по PId на 55 градусов и потом отключаю контур отопления. Иначе зачем насосу котла крутить зазря 2часа . Комната остывает на 0.1 от заданной всё включается и так опять.,Обсуждалось уже неоднократно. BOSH GAS 6000 \ Buderus U072 c БКН у этих котлов температура ГВС передается в ID29,settings;hot_water;from_chat
104,"если сам котел будет выбирать мощность и температуру ТН, то почему он должен это делать максимально быстро, если только это не заложено у него в мозгах","Ну так прошивку котла не совсем дураки писали. Если вы хотите в БКН 60 градусов, а котел видит, что текущая 40, то греть он будет на 100% мощности, чтобы нагреть максимально быстро. А если котел видит, что текущая 58, то чтобы нагреть ее на два градуса до заданной, он включится на минимальной мощности.",firmware;from_chat
105,"А двухконтурные, вроде, так и работают. Но не об этом сейчас. Получается, то, что отправил контроллер на котел, это же значение и получил. Это здорово. Но при нажатии на кнопку на котле - выводит прежнюю температуру, будто и не менялась...","с бойлером косвенного нагрева сначала лучше подождать минуты три, нажать обновить - если не появляется температура горячей воды - переходить в setup-дополнительно ""Использовать CH2 для горячей воды"" - перегрузить",hot_water;from_chat
106,"наврятли, но мб какая нибудь мистическая выдача ip или смена его раз в 34?30? минут + фиксированный ip устройства… пахнет со стороны настроек wifi… однако, мистика.","Некоторые роутеры сильно умные (keenetic). В настройках wifi у них есть всякие ""улучшатели"" типа динамический смены канала, и тому подобная хрень. ESP сильно не любит такие ""улучшатели"" сигнала. Тут в чате были скриншоты, что надо поотключать на keenetic, чтобы сеть работала стабильно",wifi;settings;from_chat
107,"А как это проверить, поддерживает ли ограничение модуляции мой котел. В веб-морде ограничил максимальную модуляцию до 20% и ничего не изменилось, скорость нагрева и тактование как при полной модуляции остались.","В альтернативной прошивке можно менять предельный уровень модуляции. Даже динамически, в зависимости от условий. И делать раздельно уровни модуляции для отопления и ГВС. Адаптеры EctoControl то же поддерживаются OpenTherm \ Ebus \ Navien",opentherm;firmware;hot_water;from_chat
108,"А можно ли использовать ST чисто для отслеживания ошибок, а управление оставить испрльзовуя комнатный термостат? Иначе получается управлять температурой внутри помещения можно будет только через приложение или НА","Не откладывая на завтра, отключил ST. Замкнул контакты. Накрутил на котле 45 градусов. Перезапустил котёл. И он счастливо стартанул и начал греть до 70 с лишним. Плюнул и прикрутил пока механический термостат. С ним проблем не было.",general;from_chat
109,"<USER> добро дня, очень интересно, где можно почитать как это реализовано? я правильно понял что по шине OpenTherm с котлом взаимодействуют два устройства родная выносная панель и smartTerm?","В описании протокола OpenTherm это называется шлюз. В одном устройстве есть мастер и слейв и можно со слейва (от панели) транслировать мастеру, который командует своим слейвом (котлом), а можно игнорировать панель и работать как просто контроллер котла.",opentherm;from_chat
110,а вот на это не смогу ответить. отдельно от контроллера как проверить доступность котла? вся информация идет через контроллер.,"если контроллер недоступен, то в журнале событий будет ""Last Wiil"" - сообщение о недоступности всех объектов. Если недоступен котел, то будет вышеописанное сообщение ""OpenTherm: потеря связи"". Если другая ошибка - должно быть сообщение о этой другой ошибке с каким-то кодом. Поэтому я и не понимаю, что происходит",opentherm;diagnostics;from_chat
111,"Время выбега насоса — это параметр, который определяет, как долго насос продолжает работать после выключения горелки. У меня он не выключается.",Не правильно. Отопление можно отключить. Как минимум двумя перечисленными способами. Помпой управляет котел. По своим встроенным алгоритмам. Напрямую управлять помпой по opentherm невозможно. Но косвенно влиять на то как котел управляет помпой возможно. По крайней мере на buderus и bosh.,opentherm;from_chat
112,"Пока ты рядом, подскажи. А можно как-то посмотреть вообще всё, что отдаёт котел по opentherm? Просто у моего котла в инструкции написано и на плате есть разъём под уличный датчик температуры. Вот интересно - если я его подключу, то появится ли он в mqtt?","1. Посмотреть можно программой для тестирования из закрепа. 2. Если в информации есть ""Text"" = T extermal, то появится. Может быть Text появится только при подключенном датчике",opentherm;mqtt;sensors;wiring;from_chat
113,"гидрострелка должна быть некой вундервафлей, которая всё сама делает? а почему не батарея, пусть котел греет 80 а батарея ссыт чуток, чтоб не жарко было, а теплые полы очень стараются быть теплым а не горячими.. главное чтоб горел котел на 80.. утюгом","Гидрострелка тут не главное. Контура с управлением подмесом отрегулируют температуру как надо. Когда контура перестают брать тепло, то котел останавливается по температуре подачи.",hot_water;from_chat
114,"Господа , а в целом есть какой то гайд по настройке системы отопления а не только работы котла ? Поплывки , колллекторы и прочие вентилия Введение в тему так сказать. Я так понимаю в коллекторе теплого пола тоже есть какая то логика термостатирования ( биметалический термостат) , и что то там настраивается даже и регулируется .",Коллектор тёплого пола регулируется термоэлектрическими клапанами. Вот туда как раз esp вполне годна,settings;from_chat
115,"Короче 99 процентов что опентерма нет, мне нужно понять смогу я через реле его настроить или нет , если нет то иду и сдаю не рисковать чтобы","потому что надо написать изменения в прошивку. И еще раз - с реле можно только включать и выключать. Задавать температуру можно ту, которую поддерживать в помещении. Прошивку можно самостоятельно написать ну или ждать штатного тормоза. Приложение для управления по реле тоже надо менять",firmware;from_chat
116,"У меня дисплей (термостат) отдельно на двух проводах. Я предположил (понадеялся), что может быть он пр какому то известному протоколу общается. Мне по большому счету как таковое управление второстепенно, главное вовремя получить уведомление об ошибке. А то не было бы беды..","Два провода это может быть, что угодно: сухие контакты или известные протоколы OpenTherm, E-BUS, BridgeNet (Ariston), BSB (Baxi), Navien, Wolf, Daesung",opentherm;baxi;wiring;diagnostics;from_chat
117,"Можно ли обойтись без уличного датчика температуры? Задавать температуру в помещении через веб интерфейс, контроллер видит показания, датчика температуры в помещении и в зависимости от большесии или меньшести задананной температуры, выдаёт управляющее воздействие.","Конечно можно без датчика. Датчик лишь для того, что бы система быстрее. И вы почитайте об установках. В качестве датчика можно через НА все, что угодно указать.",sensors;from_chat
118,"А что имеется в виду под ""с другим алгоритмом работы пид""? Сравнение с чем происходит?","С алгоритмом из прошивки SmartTherm. Я немножко инженер, имею право оценивать 😉 То, что написано у Евгения, нормально работать не должно. Приблизительно - да, пожалуйста. Без переходов целевой температуры от +25 к +10 и обратно. Но работать точно и во всем диапазоне - не может. Много раз указывал на эти косяки. Но это его бизнес, не мой.",firmware;settings;from_chat
119,"Боюсь, вместе с датчиком или разъемом точно не пролезет. Можно ли штатный разрезать и нарастить? Какой провод применен? Да и 5 метров не факт что хватит, Хотя хз.","10 метров тоже есть, На Яндексе и али. Обычно газовая труба в гильзе, а в гильзу пихают типа пакли. Гильза у DS18B20 чуть толще самого кабеля. Разрезать и нарастить тоже можно, только надо сообразить - там по даташиту на какую длину какой резистор нужен",sensors;wiring;from_chat
120,"А где можно посмотреть список кодов ошибок? К примеру, выдало ""OT Fault 158"", а что это означает?","Коды ошибок которые котёл отдаёт в шину opentherm и который он показывает на своём экране придумывает каждый производитель котла самостоятельно. Стандарта нет. Коды которые котёл показывает на экране можно найти в паспорте котла или загуглить по ""модель котла + код ошибки"" Copilot хорошо справляется с такой задачей.",opentherm;diagnostics;from_chat
121,"<USER> и еще спрошу, надеюсь подскажете, по PID. Если смарттерм подключен к котлу, то родные мозги уходят в аут? Модуляция горелки ей вроде реализуется обычно, а тут как я понимаю уже СТ все берет на себя? Елси pid не включить следовательно тогда и модуляции не будет? Котел будет шпарить на все 100%?","если не Comfort, то пульт не на Опентерме. Тогда общий случай, т.е. управлять с пульта нельзя, смотрпть можно",wiring;settings;from_chat
122,"Evgen, дайте пожалуйста наводку: где почитать как использовать аналоговый вход А0. Конкретно, куда подключить физически, максимальный уровень напряжения. Плата ESP32-wroom32.","В SmartTherm 32 есть возможность измерения аналогового сигнала, амплитудой до 5В. Сигнал заведен на 6-ой канал ADC1(GPIO 34). Для подключения можно установить клеммник, место на плате предусмотрено, или припаять без клеммника напрямую.",wiring;hardware;from_chat
123,"Просветите кто может, как реализован функционал ""Использовать CH2 для горячей воды"". Уставку для dhw2 ведь нет возможности отправить котлу.","Когда ставите эту галку, то большинство котлов воспринимают это как указание, того что котел подключен к схеме водоснабжения с Бойлером Косвенного Нагрева. А не к проточной подаче воды. Установку температуры ГВС котел обычно берет из ID 56. Не зависимо от включения CH2.",wiring;settings;hot_water;from_chat
124,тут галочка вообще не снимается/ставится) но вроде после переключения туда-сюда панель-ст ошибка ушла,"Я б не стал, на esp32 проще и понятней. У ""бандуры"" есть gpio и аппаратный UART? А, да, вспомнил! Когда-то давно я старый кнопочный телефон для этой цели использовал. DTMF-декодер через mini-jack подключил к разъему наушников, и оно реально работало 😂 Потом интернет оптикой протянули, выбросил. Похоже, зря.",wiring;hardware;diagnostics;from_chat
125,"Получается, что логика такая в Вашем случае: котлу топить, пока есть хоть одно недотопленное помещение?","Я сделал 4 ПИДа, у каждого по два ""руля"": набор головок на коллекторе и заданная температура теплоносителя. У кого расчетная больше, тот рулит котлом, открывая свои головки. Остальные рулят только головками. Ну и двухминутная задержка на открытие/закрытие головок, чтоб насос котла не работал на задвижку.",settings;from_chat
126,"«Для управления контроллером через интернет необходимо заполнить параметры MQTT» Подскажите, пожалуйста, что это за параметры и откуда их брать?…",Устройства домашней автоматизации общаются между собой по протоколу MQTT. Приложения подключаются тоже по mqtt. Сервер mqtt можно развернуть свой в домашней сети или воспользоваться сервером в интернете. На сайте LiveControl в личном кабинете есть облачный mqtt.,mqtt;wiring;from_chat
127,"Есть желание приобрести данную вещь. Интересует как она будет работать с комнатный термостатом? И есть ли выход lan или только WiFi? ( в котельной просто плохо ловит, провод протянуть не проблема, второй роутер ставит не охото)","только WiFi. По результатам экспериментов вариант с ESP32 c отпаяным транзистором добивает дальше, чем esp8266, до 45 метров по коридору из комнаты через одну стенку в полкирпича",wifi;wiring;hardware;from_chat
128,"Не знаю. Я не ""ковырялся"" в коде ещё, и логи даже не смотрел во время такого поведения. Я правильно понял что если подключено устройство - то оно ка пид регулятор работает, а не автоматика котла?","На родной прошивке просто имитация панели котла, задаётся температура отопления и ГВС, и кнопки вкл/выкл. Никаких пределов температуры и использования датчика температуры нет, это всё к сторонним прошивкам.",sensors;firmware;wiring;settings;hot_water;from_chat
129,"Хотелось бы прикрутить как-то к устройству,чтобы можно было отслеживать давление в системе и пополнять по надобности самому. А то раз в месяц оно падает до критической,а бегать каждую неделю смотреть не хочется. Утечку тоже не найдешь,все в стенах","можно самостоятельно прошивку допилить ну и допаять немного, в зависимости от того, какой датчик. Или есть HA, то запилить отдельный контроллер с датчиком",mqtt;sensors;firmware;pressure;from_chat
130,"Доброго! Такая история - котелmizudo m24th, горелка отопления включантся с привязкой к заданной желаемой температуре, но отключается только при достижении температуры теплоносителя 80гр, в чем может быть дело и где копать?","смотреть на экран SmartTherm без включения PID регулятора, задавать температуру теплоносителя в ручном режиме. Ts должно равнятся Tsr через некоторое время после изменения уставки",settings;from_chat
131,"Эта прошивка позволяет подключать эти термометры по zigbee через шлюз к HA. У меня так сделано. Отсюда вопрос, прошивка livecontrol и otgetway умеют работать с ним, те прикидываться шлюзом?","Прошивка LiveControl умеет получать данные от других устройств по MQTT. Из таких систем как OpenMQTTGateway, Zigbee2MQTT, SLS, Tasmota, NodeRead, HA, openHAB, Fhem, domotiz, EEdom, HOMEd. Про OTgatеwey не знаю.",mqtt;firmware;wiring;from_chat
